,song_index,topic,name,artist,lyrics,res_API,status_API,name_API
11539,11539,Songs about high school experiences,Nowadays Clancy Can't Even Sing,Buffalo Springfield,"Who's that stomping all over my face
Where's that silhouette I'm trying to trace
Who's putting sponge in the bells I once rung
And taking my gypsy before she's begun
To singing in the meaning of what's in my mind
Before I can take home what's rightfully mine
Joinin' and listenin' and talkin' in rhymes
Stoppin' the feeling to wait for the times

Who's saying baby, that don't mean a thing
'Cause nowadays Clancy can't even sing

And who's all hung-up on that happiness thing
Who's trying to tune all the bells that he rings
And who's in the corner and down on the floor
With pencil and paper just counting the score
Who's trying to act like he's just in between
The line isn't black, if you know that it's green
Don't bother looking, you're too blind to see
Who's coming on like he wanted to be

And who's coming home on the old nine-to-five
Who's got the feeling that he came alive
Though havin' it, sharin' it ain't quite the same
It ain't no gold nugget, you can't lay a claim
Who's seeing eyes through the crack in the floor
There it is baby, don't you worry no more
Who should be sleepin', but is writing this song
Wishin' and a-hopin' he weren't so damned wrong 
",aprox,200,Nowaday's Clancy Can't Even Sing
11546,11546,Songs about high school experiences,School Day,Chuck Berry,"Up in the mornin' and out to school
The teacher is teachin' the Golden Rule
American history and practical math
You study' em hard and hopin' to pass
Workin' your fingers right down to the bone
And the guy behind you won't leave you alone

Ring ring goes the bell
The cook in the lunchroom's ready to sell
You're lucky if you can find a seat
You're fortunate if you have time to eat
Back in the classroom open you books
Gee but the teacher don't know
How mean she looks

Soon as three o'clock rolls around
You finally lay your burden down
Close up your books, get out of your seat

Down the halls and into the street
Up to the corner and 'round the bend
Right to the juke joint you go in

*Drop the coin right into the slot
You gotta hear something that's really hot

With the one you love you're makin' romance
All day long you been
Wantin' to dance
Feelin' the music from head to toe
'Round and 'round and 'round you go

(*Repeat)

Hail, hail rock'n'roll
Deliver me from the days of old
Long live rock'n'roll
The beat of the drum is loud and bold
Rock rock rock'n'roll
The feelin' is there body and soul
",aprox,200,School Days
11570,11570,Songs about homelessness or desperation,Gypsy Woman (She's Homeless),Crystal Waters,"She wakes up early every morning
Just to do her hair now
Because she cares yeah

Her day oh wouldn't be right
Without her make up
She's never had a make up

She's just like you and me
But she's homeless, she's homeless
As she stands there singing for money.

La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da

In my sleep I see her begging
Preaching please
Although her body is not mine
I ask now why God why

She's just like you and me
But she's homeless, she's homeless
As she stands there singing for money

La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da

La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da

She's just like you and me
As she stands there singing for money

La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da

La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da

Ooh
Ooh
Ooh
Ooh

La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da
La da dee la dee da",aprox,200,Gypsy Woman
11595,11595,Songs about events in the news,We Are Trayvon,Plies,"Chorus:
You'll forever live on, forever live on
You'll forever live on, forever live on 
You'll forever live on, you'll forever live on 
You'll forever live on, you'll forever live on

Verse 1:
I never thought that wearing no hoodie, could cause 
Your life.
And I never thought you could just kill somebody and go 
Out the 
Same night.
Every dog that you see that bark, don't mean that he 
Bite.
And everything thats black ain't evil, everything 
That's pure ain't 
White
Cause you think that im doin wrong don't mean that you 
Right.
Cause the ones that you think that won't, them the ones 
That might.
Certain people in this world the system don't like.
When you living what you worth is how they value your 
Life.
I can do all things through christ, who strengthen me.
And even when I pray I pray for my enemies.
And pac said it best ""only god can judge me.""
Trayvon lil homie, I want you to know you really 
Touched me.

Chorus:
You'll forever live on, forever live on
You'll forever live on, forever live on 
You'll forever live on, you'll forever live on 
You'll forever live on, you'll forever live on

Verse 2:
Sometimes trying to live right, sometimes it seems so 
Wrong, 
Sometimes you tryin to get justice, sometimes it take 
So long.
But the ones they supposed to keep in, be the ones they 
Let go home.
But the ones that hustle and survive, be the ones they 
Hold  with no 
Bond.
My son supposed to burry me, but I ain posed to burry 
My son.
You can call me nigga all you want, but you ain't pose 
To treat me 
Like one,
Pose to be able to express my self, and be able to 
Dress how I 
Want.
Pose to be able to go where I please, and be able to 
Leave when I'm 
Done.
Should I think that you sell dope, just cause you drive 
A benz.
Should I think that zack in a gang, just cause he sag 
His pants.
Whats right is right, whats wrong is wrong,
Trayvon martin, you'll forever live on.

Chorus:
You'll forever live on, forever live on
You'll forever live on, forever live on 
You'll forever live on, you'll forever live on 
You'll forever live on, you'll forever live on",aprox,200,We Are Trayvon (Trayvon Martin Tribute)
11637,11637,Songs about friendship,Stick The Kettle On,Lucy Spraggan,"I know some days are hard
But I know how strong you are
The front door's open if you're broken
Let's talk the night away
Sometimes we get it wrong, stick the kettle on

I spend my nights alone
I keep these doors closed
And it don't help me when they tell me
That I should just man up
Some days we get it wrong, stick the kettle on

And if you're low
You're not alone
I hope you know
Sometimes we get it wrong
Stick the kettle on

I find it hard to sleep
I lost my self belief
I didn't mean to but I seem to
Have ended up so lost
Sometimes we get it wrong, stick the kettle on

And if you're low
You're not alone
I hope you know
Sometimes you get it wrong
Stick the kettle on

It's seems forever, can't remember
When I last heard you laugh

And if you're low
You're not alone
I hope you know
Sometimes you get it wrong and we come undone
Sometimes you get it wrong but I won't be long
Sometimes we get it wrong, stick the kettle on",aprox,200,Stick The Kettle On (Feat. Scouting For Girls)
11705,11705,Songs about high school experiences,"Young, Dumb and Broke",Khalid,"So you're still thinking of me
Just like I know you should
I cannot give you everything
you know I wish I could
I'm so high at the moment
I'm so caught up in this
Yeah, we're just young, dumb and broke
But we still got love to give

While we're young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb
Young dumb
Young, young dumb and broke
Young dumb broke 
high school kids
Yadadadadadadada
Yadadadadadada
Yadadadadadadada
Young dumb broke 
high school kids

We have so much in common
We argue all the time
You always say I'm wrong
I'm pretty sure I'm right
What's fun about commitment?
When we have our life to live
Yeah, we're just young dumb and broke
But we still got love to give

While we're young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb broke 
high school kids
Yadadadadadadada
Yadadadadadada
Yadadadadadadada
Young dumb broke 
high school kids

Jump and we think - 
do it all in the name of
love
Love
Run into sin, do it 
all in the name of fun
Fun
Whoa-oa-oa
I'm so high at the moment
I'm so caught up in this
Yeah, we're just young, 
dumb and broke
But we still got love to give
While we're young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb
Young dumb
Young, young dumb and broke
Young dumb broke 
high school kids
Yadadadadadadada
Yadadadadadada
Yadadadadadadada
Young dumb broke high school kids",aprox,200,Young Dumb & Broke
11723,11723,Songs about homelessness or desperation,Long Tall Glasses (I Can Dance),Leo Sayer,"Writers: Leo Sayer & David Courtney

I was travellin' down the road, feelin' hungry and cold 
I saw a sign sayin' food and drinks for everyone 
so naturally I thought I would take me a look inside 
I saw so much food, there was water comin' from my eye 

yeah there was ham an' there was turkey, there was caviar 
an' long tall glasses, with wine up to yar 

an' then somebody grabbed me, threw me outta my chair 
said before you can eat, you gotta dance like Fred Astaire 

you know I can't dance, you know I can't dance 
you know I can't dance, you know I can't dance 
I can't dance 

I am a man of the road -- a hobo by name 
I don't seek entertainment, just poultry and game 
but if it's all the same to you, then yes I will try my hand 
if you were as hungry as me then I'm sure you would understand 

hmmm 
now wait a minute 
let me see now 

of course I can dance of course I can dance 
I'm sure I can dance, I'm sure I can dance.. 
I can dance 

I can dance 
I really hit the floor 
ah feels good 
look at me dancin' 

I did a two-step, quick-step and a bossa nova 
a little Victor Silvester, and a Rudy Valentino 
you should a seen me movin', right across the floor 
hand me down my tuxedo, next week I'm comin' back for more 

I can dance -- oh yes! I can dance 
look at me dancin' the floor movin' 
I feel good -- I can dance 
",aprox,200,Long Tall Glasses
11731,11731,Songs about homelessness or desperation,Morning Glory,Tim Buckley,"I lit my purest candle close to my
Window, hoping it would catch the eye
Of any vagabond who passed it by
And I waited in my fleeting house

Before he came, I felt him drawing near
As he neared I felt the ancient fear
That he had come to wound my door and jeer
And I waited in my fleeting house

""Tell me stories"", I called to the hobo
""Stoties of cold"", I smiled at the hobo
""Stories of old"", I knelt to the hobo
And he stood before my fleeting house

""No"", said the hobo, ""no more tales of time""
""Don't ask me now to wash away the grime""
""I can't come in, 'cause it's too high a climb""
And he walked away from my fleeting house

""Then you be damned!"", I screamed to the hobo
""Leave me alone"", I wept to the hobo
""Turn into stone"", I knelt to the hobo
And he walked away from my fleeting house",aprox,200,Morning-glory
11773,11773,Songs about friendship,Teenage Talk,St. Vincent,"[Verse 1]
Katie kept the list of times
Now that she had really done it, done it
So we swarmed like flies
Pretending that we weren't terrified

[Verse 2]
'Til we snuck out that night
Rolled the Chrysler down the driveway
But once we were inside
Couldn't figure out where we were off to

[Hook]
That was before we had made
Any terrible mistakes

[Verse 3]
Well, that's just teenage talk
Pink swear that you won't go changing
Drank so much that night
Carved the state of Texas in our forearms

[Verse 4]
You know I never loved you more
Than when we were hiding from those sirens, sirens
Oh, we laughed so hard
Threw up in your mom's azaleas

[Hook]
That was before we had made any terrible mistakes
That was before we had made any terrible mistakes

[Bridge]
That's just teenage talk
I don't think the past is better, better
Just cause it's cased in glass
Protecting us from our now and later

You know I never loved you more
Than when we were hiding from those sirens, sirens
Drank so much that night
Carved the state of Texas in our forearms

[Outro]
How do you see me now?
Now that I'm a little bit older, older
Nevermind the albatross
Smoldering on my shoulder, shoulder
Shoulder, shoulder",aprox,200,Teenage Talks
11870,11870,Songs about homelessness or desperation,Who Will Care?,Hazel O'Connor,"Â© Hazel O`Connor

Did she wake up cold and alone
Hoping someone might phone
Did she crawl out of bed, scratch her head
Look in the mirror and think she was dead
Who will care? Who will care?
Did she thrown on her clothes and
Walk slowly to the door
Go into town hoping to score
Did she find her a man who said he'd give her all he can
And when that's not enough then life starts to get tough
Who will care? Who will care?

Did she die in the cold
Was she scared to be old
Nobody knows where and old loner goes
At the end of the line

And on one grey day some children at play
Saw her dead body, thought it was funny
Oh look at that lady on the ground fast asleep
Nobody knew her so nobody weeps
Who will care? Who will care?

Did she die in the cold
Was she scared to be old
Nobody knows where and old loner goes
At the end of the line

Did she? Did she? Who was she?
",aprox,200,Who Will Care
11945,11945,Songs about getting older,Puff The Magic Dragon,"Peter, Paul and Mary","Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee

Little Jackie Paper loved that rascal Puff,
and brought him strings and sealing wax and other fancy stuff. Oh

  Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee
  Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee

Together they would travel on a boat with billowed sail
Jackie kept a lookout perched on Puff's gigantic tail,
Noble kings and princes would bow whene'er they came,
Pirate ships would lower their flags when Puff roared out his name. Oh

  Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee
  Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee

A dragon lives forever but not so little boys
Painted wings and giant rings make way for other toys.
One grey night it happened, Jackie Paper came no more
And Puff that mighty dragon, he ceased his fearless roar.

His head was bent in sorrow, green scales fell like rain,
Puff no longer went to play along the cherry lane.
Without his life-long friend, Puff could not be brave,
So Puff that mighty dragon sadly slipped into his cave. Oh

  Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee
  Puff, the magic dragon lived by the sea
  And frolicked in the autumn mist in a land called Honah Lee",aprox,200,"Puff, The Magic Dragon"
12001,12001,Songs about friendship,"Whenever I Call You ""Friend""",Kenny Loggins,"Whenever I call you ""Friend"", I begin to think I understand
Anywhere we are, you and I have always been, ever and ever
I see myself within your eyes, and that's all I need to show me why
Everything I do always takes me home to you, ever and ever
'N now I know my life has given me more than memories, day by day, we can see
In every moment there's a reason to carry on
 Chorus:
Sweet love's showin' us a heavenly light, never seen such a beautiful sight
See love glowin' on us every night, I know forever we'll be doin' it
chorus... right
Whenever I call you ""Friend"", I believe I've come to understand
Everywhere we are, you and I were meant to be, forever and ever
I think about the times to come, knowin' I will be the lucky one
And ever our love will last, I always want to call you ""Friend""
chorus
(Instrumental break)
An' now I know my life has given me more than memories, day by day
We can see, in every moment there's a reason to carry on
chorus repeats 2x - doin' it, doin' it
Sweet love (repeats out)...
(You're the glowin' light in my life, source of pride in my life)
(Everything I do takes me back to you, whenever I call you friend...

",aprox,200,Whenever I Call You Friend
12004,12004,Songs about friendship,Where Ya At,Future,"[Verse 1: Future]
Where your ass was at dog, when niggas wouldn? t feed me?
Where your ass was at dog, when bitches didn? t need me?
Where your ass was at dog, when niggas tried to run off?
Where your ass was at dog? You made me pull this gun out
Where your ass was at, dog, you went and switched sides?
Where your ass was at, dog, when niggas spread lies on him?
Where your ass was at, dog, when the bodies came sliding?
Where your ass was at, dog, when I was serving piles?
Where your ass was at, dog, when niggas wouldn? t feed me?
Where your ass was at, dog, when bitches didn? t need me?
Where your ass was at, dog, when niggas tried to run off?
Where your ass was at, dog? You made me pull this gun out
Where your ass was at, dog, when I was in the Pyrex?
Where your ass was at, dog, when I was drinking Hi-Tech?
Where your ass was at, dog? Came through the projects
Where your ass at? We keep that fully loaded contracts
Had to rent that on the dick ass jocking
Running through the pussy like a nigga going jogging
Fuck a little Louis, put it in a bitch pocket
Put a pic with me on the gram now you popping
Where your ass was at when I was trapping in the stove?
Had to struggle to get where I'm at and sell dope
Jackie Chan moves got game in the choke
Gas rolling up in the blunt, Amoco
12 jumpers came in the spot to open up the dope
Carlo, Bob, Joe gotta young nigga coughing
Juugin' out the stove and we still raised honest
Blowing on the O ho, we call that ho an onion

[Verse 2: Drake]
Man, where your ass was at when we took the city over?
Where your ass was at when all they'd ask was what's the hold up?
Where your ass was at when niggas first got the news?
Now your ass around because we? re paying back dues
Where were you? When all the dogs needed help
Lawyers and the commissary ain? t gon? pay itself
Where your ass was at when we recorded in the bathroom?
Where your ass was at I take attendance like a classroom
Man I ain? t got no choice
Cause nowadays I swear this shit done changed up for the boy
I? m self-made, selfish with my women, self-employed
I? ll buy the neighbors house if they complain about the noise
Man, where your ass was at, dog, when niggas wouldn? t feed me?
Where your ass was at, dog, when bitches didn? t need me?
Where your ass was at, last winter was the coldest?
Fuck where you was at, I had the 6 on my shoulders

[Verse 3: Future]
Where your ass was at dog, when niggas wouldn? t feed me?
Where your ass was at dog, when bitches didn? t need me?
Where your ass was at dog, when niggas tried to run off?
Where your ass was at dog? You made me pull this gun out
60 for a walk thru bitch don? t panic
Had them bitches fall through fucking like a savage
Heard you tryna swim in the ocean no jacket
Heard that nigga came through squeezing on a ratchet
Heard that nigga came through squeezing on a ratchet
Serve a lot of dog food; call you a mutt
Where your ass was at dog, when I was on my come-up?
The reason I? m here today cause I ain't never gave up
Where your ass was at, dog, when niggas wouldn? t feed me?
Where your ass was at, dog, when bitches didn? t need me?
Where your ass was at, dog, when niggas tried to run off?
Where your ass was at, dog? You made me pull this gun out
Where you ass was at, when I was trapping at the stove?
Had to scrub to get where I was at and sell dope
Juugin' out the stove and we still raised honest
Blowing on the O ho, we call that ho an onion",aprox,200,Where Ya At (Feat. Drake)
12006,12006,Songs about friendship,Wish You Were Here,Lukas Graham,"I wish you were here
Yeah, I wish you were here
After all this time and all these years
I, I wish you were here

Yeah, I've had my share of friends
 That come and go (That come and go)
Seems they don't make 'em
 Like they made you anymore (Anymore)
All these places, all these faces, still alone
It only helps to grow, tell you 'bout it when I'm home

'Cause I'm out here without you
 (Yeah, I'm out here, I'm out here without you)
Doing all of the things that we said we'd do
And life don't have a re-do
Going out, see the world, could ever be you
All I'm saying is

I wish you were here
Yeah, I, wish you were here
After all this time and all these years
Oh, I, wish you were here
Oh-oh, I-I
I wish you were here
Yeah, I, wish you were here (Oh, yeah, oh, yeah)
After all this time and all these years (These years)
Oh, I, wish you were here

It could be the way it was
The way it was way back when
Way before crazy began
I got you right here with me (With me)
Here in my memories
I know I'm gonna see you again
(I'm gonna see you again)

'Cause I'm out here without you
 (Yeah, I'm out here, I'm out here without you)
Doing all of the things that we said we'd do
And life don't have a re-do
Going out, see the world, could ever be you
All I'm saying is

I wish you were here
Yeah, I, wish you were here
After all this time and all these years (These years)
Oh, I, wish you were here
Oh-oh, I-I
I wish you were here
Yeah, I, wish you were here (Hey-hey, hey)
After all this time
 And all these years (After all these years)
Oh, I, wish you were here

After all this time and all these years
Oh, I, wish you were here",aprox,200,Wish You Were Here (Feat. Khalid)
12049,12049,Songs about heartache,"Baby Did a Bad, Bad Thing",Chris Isaak,"Baby did a bad bad thing, baby did a bad bad thing.
Baby did a bad bad thing, baby did a bad bad thing.
You ever love someone so much you thought your little heart 
was gonna break in two?
I didn't think so.
You ever tried with all your heart and soul 
to get you lover back to you?
I wanna hope so.
You ever pray with all your heart and soul
 just to watch her walk away?
Baby did a bad bad thing, baby did a bad bad thing.
Baby did a bad bad thing, feel like crying, feel like crying.
You ever toss and turn your llying awake and thinking about 
the one you love?
I don't think so.
You ever close your eyes you making believe your holding 
the one your dreaming of?
Well if you say so.
I hurts so bad when you finally know just how low, low, low, 
low, low, she'll go.
Baby did a bad bad thing, baby did a bad bad thing.
Baby did a bad bad thing, feel like crying, feel like crying.
Ohh. Feel like crying, feel like crying.
Ohh, feel like crying, feel like crying.

( Guitar Solo )

Baby did a bad bad thing, baby did a bad bad thing.",aprox,200,Baby Did A Bad Bad Thing
12050,12050,Songs about heartache,"Baby, Please Don't Go",Big Joe Williams,"Baby please don't go, 
Baby please don't go, 
Baby please don't go, 
Down to New Orleans 
You know I love you so, 
Baby please don't go. 

Baby your mind done gone, 
Well your mind done gone, 
Well your mind done gone, 
Left the county farm, 
You had the shackles on. 
Baby please don't go. 

For be a dog, 
For be a dog, 
For be a dog, 
To git you way down here, 
I make you walk the log. 
Baby please don't go. 

Baby please don't go, 
Baby please don't go, 
Baby please don't go, 
Down to New Orleans, 
You know I love you so. 
Baby please don't go. 

For be a dog, 
For be a dog, 
For be a dog, 
Git you way down here, 
Make you walk the log. 
Baby please don't go. 

'now how I feel right now, 
My baby leavin', 
On that midnight train, 
And I'm cryin'. 

Baby please don't go, 
Baby please don't go, 
Baby please don't go, 
Down to New Orleans, 
You know I love you so. 
Baby please don't go. 

For be a dog, 
For be a dog, 
For be a dog, 
To git you way down here. 
I make you walk the log. 
Baby please don't go, yeah. 

Awright",aprox,200,Baby Please Don't Go
12083,12083,Songs about inner beauty or body image,Brown Skin Girl,Beyoncé,"Brown skin girl
Your skin just like pearls
The best thing in the world
Never trade you for anybody else
Singin' brown skin girl
Your skin just like pearls
The best thing in the world
I never trade you for anybody else, singin'

She said she really grew up poor like me
Don't believe in nothin' but the almighty
Just a likkle jeans and a pure white tee
She never did forever be nobody wifey, yeah
So while I may not pretty boy, your heart is amiss
Play it like a villain 'cause she caught in a wave
Tonight I am walkin' away
Lined up my mind, on the grind, yeah, yeah

Tonight I might fall in love
Dependin' on how you hold me
I'm glad that I'm calmin' down
Can't let no one come control me
Keep dancin' and call it love
She fightin' but fallin' slowly
If ever you are in doubt, remember what mama told me

Brown skin girl, ya skin just like pearls
Your back against the world
I never trade you for anybody else, say
Brown skin girl, ya skin just like pearls
The best thing in all the world
I never trade you for anybody else, say

Pose like a trophy when Naomis walk in
She need an Oscar for that pretty dark skin
Pretty like Lupita when the cameras close in
Drip broke the levee when my Kellys roll in
I think tonight she might braid her braids
Melanin too dark to throw her shade
She minds her business and wines her waist
Gold like 24k, okay

Tonight I might fall in love
Dependin' on how you hold me
I'm glad that I'm calmin' down
Can't let no one come control me
Keep dancin' and call it love
She fightin' but fallin' slowly
If ever you are in doubt, remember what mama told me

Brown skin girl, ya skin just like pearls
Your back against the world
I never trade you for anybody else, say
Brown skin girl, ya skin just like pearls
The best thing in all the world
I never trade you for anybody else, say

Oh, have you looked in the mirror lately? (Lately)
Wish you could trade eyes with me (Because)
There's complexities in complexion
But your skin, it glow like diamonds
Dig me like the earth, you be giving birth
Took everything in life, baby, know your worth
I love everything about you, from your nappy curls
To every single curve, your body natural
Same skin that was broken be the same skin takin' over
Most things out of focus, view
But when you're in the room, they notice you (Notice you)
'Cause you're beautiful
Yeah, you're beautiful

Them men, them gon' fall in love with you and all of your glory
Your skin is not only dark
It shines and it tells your story
Keep dancin', they can't control you
They watchin', they all adore you
If ever you are in doubt
Remember what mama told you

Brown skin girl (Brown skin girl)
Ya skin just like pearls (Brown skin girl)
Your back against the world (Oh)
I never trade you for anybody else, say (No, no)
Brown skin girl (Brown skin girl)
Ya skin just like pearls (Brown skin)
The best thing in all the world
I never trade you for anybody else, say

Brown skin girl
Your skin just like pearls
The best thing in the world
I never trade you for anybody else, singin'",aprox,200,Brown Skin Girl (With Saint Jhn and Wizkid feat. Blue Ivy Carter)
12087,12087,Songs about inner beauty or body image,Crooked Smile,J. Cole,"[Hook: TLC]
I'm on my way, on my way, on my way down
I'm on my way, on my way, on my way down
You're the one that was trying to keep me way down
But like the sun know you know I found my way back round

[Verse 1: J. Cole]
Look
They tell me I should fix my grill cause I got money now
I ain't gon' sit around and front like I ain't thought about it
A perfect smile is more appealing but it's funny how
My shit is crooked look at how far I done got without it
I keep my twisted grill, just to show them kids it's real
We ain't picture perfect but we worth the picture still
I got smart, I got rich, and I got bitches still
And they all look like my eyebrows: thick as hell
Love yourself, girl, or nobody will
Oh, you a woman? I don't know how you deal
With all the pressure to look impressive and go out in heels
I feel for you
Killing yourself to find a man that'll kill for you
You wake up, put makeup on
Stare in the mirror but its clear that you can't face
what's wrong
No need to fix what God already put his paint brush on
Your roommate yelling, ""Why you gotta take so long? ""
What it's like to have a crooked smile
This crooked smile

[Hook]
I'm on my way, on my way, on my way down
I'm on my way, on my way, on my way down
You're the one that was trying to keep me way down
But like the sun know you know I found my way back round

[Verse 2: J. Cole]
To all the women with the flaws, know it's hard my darling
You wonder why you're lonely and your man's not calling
You keep falling victim cause you're insecure
And when I tell you that you're beautiful you can't be sure
Cause he don't seem to want you back and it got you asking
So all you see is what you lacking, not what you packing
Take it from a man that loves what you got
And baby girl you're a star, don't let 'em tell you you're not
Now is it real? Eyebrows, fingernails, hair
Is it real? if it's not, girl you don't care
Cause what's real is something that the eyes can't see
That the hands can't touch
that them broads can't be, and that's you
Never let 'em see you frown
And if you need a friend to pick you up, I'll be around
And we can ride with the windows down, the music loud
I can tell you ain't laughed in a while
But I wanna see that crooked smile

[Hook]
I'm on my way, on my way, on my way down
I'm on my way, on my way, on my way down
You're the one that was trying to keep me way down
But like the sun know you know I found my way back round

[Bridge 1: J. Cole (TLC) ]
Crooked smile, we could style on 'em (back 'round)
Crooked smile, we could style on 'em (back 'round)
(You? re the one that was trying to keep me way down
Like the sun, I know you know I found my way back round...)

[Verse 3: J. Cole]
We don't look nothing like the people on the screen
You know them movie stars, picture perfect beauty queens
But we got dreams and we got the right to chase' em
Look at the nation, that's a crooked smile braces [
couldn't even straighten
Seem like half the race is either on probation, or in jail
Wonder why we inhale, cause we in hell already
I asked if my skin pale
would I then sell like Eminem or Adele?
Yo one more time for the 'Ville
And fuck all of that beef shit, nigga let's make a mil
Hey officer man, we don't want nobody getting killed
Just open up that cell, let my brother out of jail
I got money for the bail now, well now
If you asking will I tell now? Hell naw
I ain't snitching cause
Man, they get them niggas stitches now
If you was around, then you wouldn't need a witness now
How you like this crooked smile?

[Hook]
I'm on my way, on my way, on my way down
I'm on my way, on my way, on my way down
You're the one that was trying to keep me way down
But like the sun know you know I found my way back round

[Bridge]
Crooked smile, we could style on 'em (back 'round)
Crooked smile, we could style on 'em (back 'round)
(You? re the one that was trying to keep me way down
Like the sun, I know you know I found my way back round...)",aprox,200,Crooked Smile (Feat. TLC)
12136,12136,Songs about heartache,Bang Bang (My Baby Shot Me Down),Cher,"Bang bang, you shot me down
Bang bang, I hit the ground
Bang bang, that awful sound
Bang bang, my baby shot me down

I was five and you were six
We rode on horses made of sticks
I wore black, you wore white
You would always win the fight

Bang bang, you shot me down
Bang bang, I hit the ground
Bang bang, that awful sound
Bang bang, my baby shot me down

Seasons came and changed the time
I grew up, I called you mine
You would always laugh and say
Remember when we used to play

Bang bang, I shot you down
Bang bang, you hit the ground
Bang bang, that awful sound
Bang bang, I used to shoot you down

Music played and people sang
Just for me the church bells rang
After echoes from a gun
We both vowed that we'd be one
Now you're gone I don't know why
Sometimes I cry
You didn't say goodbye
You didn't take the time to lie

Bang bang, you shot me down
Bang bang, I hit the ground
Bang bang, that awful sound
Bang bang, my baby shot me down",aprox,200,Bang Bang
12158,12158,Songs about historical events,Indian Reservation (The Lament of the Cherokee Reservation Indian),Raiders,"They took the whole Cherokee Nation
 And put us on this reservation
 Took away our ways of life
 The tomahawk and the bow and knife
 
 They took away our native tongue
 And taught their English to our young
 And all the beads we made by hand
 Are nowadays made in Japan
 
 Cherokee people, Cherokee tribe
 So proud to live, so proud to die
 
 They took the whole Indian Nation
 And locked us on this reservation
 And though I wear a shirt and tie
 Im still a red man deep inside
 
 Cherokee people, Cherokee tribe
 So proud to live, so proud to die
 
 But maybe someday when they learn
 Cherokee Nation will return
 Will return
 Will return
 Will return
 Will return",aprox,200,Indian Reservation
12166,12166,Songs about inner beauty or body image,Emily (It's Love),Francesca Battistelli,"Emily i know you think it won't get any better
Life has gone and gotten so tough
Emily you believe you will never ever
Never ever find that your enough
Circumstances can change your mind
But time will help you see

It's love that hung the moon and stars for you
Above and stays awake to start the morning
If you feel you've had enough
He's never given up
It's love la la la it's love

Emily you will see some stormy weather
Dark and cloudy days of rain (days of rain)
But emily there will be summer laughter
Cause everybody the seasons change
Circumstances will turn out fine
And time will help you see

It's love that hung the moon and stars for you
Above and stays awake to start the morning
If you feel you've had enough
He's never given up
It's love

Can't you see
I know you believe me
Everything is whispering this story
So listen in
It's humbling
All of this done for you

It's love
It's love that hung the moon and stars for you
Above and stays awake to start the morning
If you feel you've had enough
He's never givin up
No
When you feel you've had enough
He's never give up
It's love
It's love
It's love
La la la it's love
It's love
Love (it's love it's love)
It's love",aprox,200,Emily
