name,link
Songs about military leaders,https://www.songfacts.com/category/songs-about-military-leaders
Songs about miscarriages,https://www.songfacts.com/category/songs-about-miscarriages
Songs about misfits and underdogs,https://www.songfacts.com/category/songs-about-misfits-and-underdogs
Songs about money,https://www.songfacts.com/category/songs-about-money
Songs about music,https://www.songfacts.com/category/songs-about-music
Songs about Native Americans,https://www.songfacts.com/category/songs-about-native-americans
Songs about nature,https://www.songfacts.com/category/songs-about-nature
Songs about nuclear meltdowns,https://www.songfacts.com/category/songs-about-nuclear-meltdowns
Songs about optimism or hope,https://www.songfacts.com/category/songs-about-optimism-or-hope
Songs about Pattie Boyd Harrison,https://www.songfacts.com/category/songs-about-pattie-boyd-harrison
Songs about peace or tranquility,https://www.songfacts.com/category/songs-about-peace-or-tranquility
Songs about people who committed crimes,https://www.songfacts.com/category/songs-about-people-who-committed-crimes
Songs about people with financial problems,https://www.songfacts.com/category/songs-about-people-with-financial-problems
Songs about perseverance,https://www.songfacts.com/category/songs-about-perseverance
Songs about photographs,https://www.songfacts.com/category/songs-about-photographs
Songs about pirates,https://www.songfacts.com/category/songs-about-pirates
Songs about places,https://www.songfacts.com/category/songs-about-places
Songs about political figures,https://www.songfacts.com/category/songs-about-political-figures
Songs about power or corruption,https://www.songfacts.com/category/songs-about-power-or-corruption
Songs about pregnancy,https://www.songfacts.com/category/songs-about-pregnancy
Songs about prescription drugs,https://www.songfacts.com/category/songs-about-prescription-drugs
Songs about pressure or burdens,https://www.songfacts.com/category/songs-about-pressure-or-burdens
Songs about pride in your heritage,https://www.songfacts.com/category/songs-about-pride-in-your-heritage
Songs about prostitutes,https://www.songfacts.com/category/songs-about-prostitutes
Songs about racism or discrimination,https://www.songfacts.com/category/songs-about-racism-or-discrimination
Songs about radio stations,https://www.songfacts.com/category/songs-about-radio-stations
Songs about rebellion,https://www.songfacts.com/category/songs-about-rebellion
Songs about rebound romances,https://www.songfacts.com/category/songs-about-rebound-romances
Songs about reconciliation or forgiveness,https://www.songfacts.com/category/songs-about-reconciliation-or-forgiveness
Songs about regret,https://www.songfacts.com/category/songs-about-regret
Songs about rejection,https://www.songfacts.com/category/songs-about-rejection
Songs about revenge,https://www.songfacts.com/category/songs-about-revenge
Songs about robots or androids,https://www.songfacts.com/category/songs-about-robots-or-androids
Songs about rock star excess,https://www.songfacts.com/category/songs-about-rock-star-excess
Songs about rockin' out,https://www.songfacts.com/category/songs-about-rockin-out
Songs about royalty,https://www.songfacts.com/category/songs-about-royalty
Songs about sacrifice,https://www.songfacts.com/category/songs-about-sacrifice
Songs about school,https://www.songfacts.com/category/songs-about-school
Songs about science,https://www.songfacts.com/category/songs-about-science
Songs about secrets,https://www.songfacts.com/category/songs-about-secrets
Songs about self-harm,https://www.songfacts.com/category/songs-about-self-harm
Songs about serial killers,https://www.songfacts.com/category/songs-about-serial-killers
Songs about sex,https://www.songfacts.com/category/songs-about-sex
Songs about slavery,https://www.songfacts.com/category/songs-about-slavery
Songs about sleep,https://www.songfacts.com/category/songs-about-sleep
Songs about slowing down,https://www.songfacts.com/category/songs-about-slowing-down
Songs about social media,https://www.songfacts.com/category/songs-about-social-media
Songs about space,https://www.songfacts.com/category/songs-about-space
Songs about specific musicians,https://www.songfacts.com/category/songs-about-specific-musicians
Songs about spirituality or religion,https://www.songfacts.com/category/songs-about-spirituality-or-religion
Songs about strippers or models,https://www.songfacts.com/category/songs-about-strippers-or-models
Songs about suicide,https://www.songfacts.com/category/songs-about-suicide
Songs about superstitions,https://www.songfacts.com/category/songs-about-superstitions
Songs about taking risks,https://www.songfacts.com/category/songs-about-taking-risks
Songs about television,https://www.songfacts.com/category/songs-about-television
Songs about temptation,https://www.songfacts.com/category/songs-about-temptation
Songs about the dangers of materialism,https://www.songfacts.com/category/songs-about-the-dangers-of-materialism
Songs about the environment,https://www.songfacts.com/category/songs-about-the-environment
Songs about the Holocaust,https://www.songfacts.com/category/songs-about-the-holocaust
Songs about the media,https://www.songfacts.com/category/songs-about-the-media
Songs about the music industry,https://www.songfacts.com/category/songs-about-the-music-industry
Songs about the passing of time,https://www.songfacts.com/category/songs-about-the-passing-of-time
Songs about the Prohibition era,https://www.songfacts.com/category/songs-about-the-prohibition-era
Songs about thrills and excitement,https://www.songfacts.com/category/songs-about-thrills-and-excitement
Songs about toys,https://www.songfacts.com/category/songs-about-toys
Songs about transgender individuals,https://www.songfacts.com/category/songs-about-transgender-individuals
Songs about traveling,https://www.songfacts.com/category/songs-about-traveling
Songs about trends,https://www.songfacts.com/category/songs-about-trends
Songs about trying to fit in,https://www.songfacts.com/category/songs-about-trying-to-fit-in
Songs about trying to give something up,https://www.songfacts.com/category/songs-about-trying-to-give-something-up
Songs about trying to write a song or make an album,https://www.songfacts.com/category/songs-about-trying-to-write-a-song-or-make-an-album
Songs about unhealthy relationships,https://www.songfacts.com/category/songs-about-unhealthy-relationships
Songs about unity,https://www.songfacts.com/category/songs-about-unity
Songs about unrequited love,https://www.songfacts.com/category/songs-about-unrequited-love
Songs about vampires or werewolves,https://www.songfacts.com/category/songs-about-vampires-or-werewolves
Songs about vanity or greed,https://www.songfacts.com/category/songs-about-vanity-or-greed
Songs about veterans,https://www.songfacts.com/category/songs-about-veterans
Songs about war,https://www.songfacts.com/category/songs-about-war
Songs about women,https://www.songfacts.com/category/songs-about-women
Songs about working,https://www.songfacts.com/category/songs-about-working
Songs for Valentine's Day,https://www.songfacts.com/category/songs-for-valentines-day
Songs inspired by the Tiananmen Square Massacre,https://www.songfacts.com/category/songs-inspired-by-the-tiananmen-square-massacre
Songs of or about the Northern Soul movement,https://www.songfacts.com/category/songs-of-or-about-the-northern-soul-movement
Songs that are autobiographical,https://www.songfacts.com/category/songs-that-are-autobiographical
Songs that are tributes to friends who died,https://www.songfacts.com/category/songs-that-are-tributes-to-friends-who-died
Songs that mention psychiatrists,https://www.songfacts.com/category/songs-that-mention-psychiatrists
Songs with different sections within the song,https://www.songfacts.com/category/songs-with-different-sections-within-the-song
Songs with political statements,https://www.songfacts.com/category/songs-with-political-statements
Songs written for a girl,https://www.songfacts.com/category/songs-written-for-a-girl
Songs written for a guy,https://www.songfacts.com/category/songs-written-for-a-guy
Songs written for a son or daughter,https://www.songfacts.com/category/songs-written-for-a-son-or-daughter
